2023-10-03, Rangers, 4, Rays, 0
2023-10-03, Blue Jays, 1, Twins, 3
2023-10-03, Diamondbacks, 6, Brewers, 3
2023-10-03, Marlins, 1, Phillies, 4
2023-10-04, Rangers, 7, Rays, 1
2023-10-04, Blue Jays, 0, Twins, 2
2023-10-04, Diamondbacks, 5, Brewers, 2
2023-10-04, Marlins, 1, Phillies, 7
2023-10-07, Rangers, 3, Orioles, 2
2023-10-07, Twins, 4, Astros, 6
2023-10-07, Phillies, 3, Braves, 0
2023-10-07, Diamondbacks, 11, Dodgers, 2
2023-10-08, Rangers, 11, Orioles, 8
2023-10-08, Twins, 6, Astros, 2
2023-10-09, Phillies, 4, Braves, 5
2023-10-09, Diamondbacks, 4, Dodgers, 2
2023-10-10, Astros, 9, Twins, 1
2023-10-10, Orioles, 1, Rangers, 7
2023-10-11, Braves, 2, Phillies, 10
2023-10-11, Astros, 3, Twins, 2
2023-10-11, Dodgers, 2, Diamondbacks, 4
2023-10-12, Braves, 1, Phillies, 3
2023-10-15, Rangers, 2, Astros, 0
2023-10-16, Rangers, 5, Astros, 4
2023-10-16, Diamondbacks, 3, Phillies, 5
2023-10-17, Diamondbacks, 0, Phillies, 10
2023-10-18, Astros, 10, Rangers, 5
2023-10-19, Phillies, 1, Diamondbacks, 2
2023-10-19, Astros, 10, Rangers, 3
2023-10-20, Astros, 5, Rangers, 4
2023-10-20, Phillies, 5, Diamondbacks, 6
2023-10-21, Phillies, 6, Diamondbacks, 1
2023-10-22, Rangers, 9, Astros, 2
2023-10-23, Diamondbacks, 5, Phillies, 1
2023-10-23, Rangers, 11, Astros, 4
2023-10-24, Diamondbacks, 4, Phillies, 2
2023-10-27, Diamondbacks, 5, Rangers, 6
2023-10-28, Diamondbacks, 9, Rangers, 1
2023-10-30, Rangers, 3, Diamondbacks, 1
2023-10-31, Rangers, 11, Diamondbacks, 7
2023-11-01, Rangers, 5, Diamondbacks, 0
